Feature_ID	HMP	KEGG_Entry	Fold_Change	Benjamini-Hochberg_P-Value_Final
ESIpos_1	HMDB0000056	C00099	-1.393789644	1
ESIpos_1	HMDB0000161	C00041	-1.393789644	1
ESIpos_1	HMDB0000271	C00213	-1.393789644	1
ESIpos_1	HMDB0001310	C00133	-1.393789644	1
ESIpos_1	HMDB0031219	C01537	-1.393789644	1
ESIpos_1	HMDB0062251	C01401	-1.393789644	1
ESIpos_1		C02116	-1.393789644	1
ESIpos_1		C11488	-1.393789644	1
ESIpos_2	HMDB0000056	C00099	1.54604492	1
ESIpos_2	HMDB0000161	C00041	1.54604492	1
ESIpos_2	HMDB0000271	C00213	1.54604492	1
ESIpos_2	HMDB0001310	C00133	1.54604492	1
ESIpos_2	HMDB0031219	C01537	1.54604492	1
ESIpos_2	HMDB0062251	C01401	1.54604492	1
ESIpos_2		C02116	1.54604492	1
ESIpos_2		C11488	1.54604492	1
ESIpos_3			-1.006932949	1
ESIpos_4			-1.306099904	1
ESIpos_5			-1.07618911	1
ESIpos_6			-1.049885061	1
ESIpos_7			-1.163706721	1
ESIpos_8			NaN	1
ESIpos_9	HMDB0000190	C00186	-1.188830337	1
ESIpos_9	HMDB0000700	C01013	-1.188830337	1
ESIpos_9	HMDB0001051	C02154	-1.188830337	1
ESIpos_9	HMDB0001311	C00256	-1.188830337	1
ESIpos_9	HMDB0001882	C00184	-1.188830337	1
ESIpos_9	HMDB0029580		-1.188830337	1
ESIpos_9	HMDB0031232		-1.188830337	1
ESIpos_9	HMDB0041929		-1.188830337	1
ESIpos_9	HMDB0144295		-1.188830337	1
ESIpos_9		C00577	-1.188830337	1
ESIpos_9		C01432	-1.188830337	1
ESIpos_9		C02426	-1.188830337	1
ESIpos_10			1.70983385	1
ESIpos_11			-1.007350958	1
ESIpos_12			-1.051291651	1
ESIpos_13	HMDB0000228	C00146	-1.581617913	1
ESIpos_13		C01782	-1.581617913	1
ESIpos_13		C15584	-1.581617913	1
ESIpos_14	HMDB0004983	C11142	1.838407448	1
ESIpos_15	HMDB0000228	C00146	NaN	0.446175431
ESIpos_15		C01782	NaN	0.446175431
ESIpos_15		C15584	NaN	0.446175431
ESIpos_16			NaN	1
ESIpos_17	HMDB0013751	C02502	-5.518939394	1
ESIpos_17	HMDB0036057		-5.518939394	1
ESIpos_18	HMDB0032973		-1.012249046	1
ESIpos_19	HMDB0031321		-1.710291439	1
ESIpos_19	HMDB0032179	C18706	-1.710291439	1
ESIpos_19	HMDB0034198	C02787	-1.710291439	1
ESIpos_19	HMDB0041878	C14422	-1.710291439	1
ESIpos_19	HMDB0143690		-1.710291439	1
ESIpos_20			-1.039414318	1
ESIpos_21			NaN	1
ESIpos_22			-1.516419103	1
ESIpos_23	HMDB0032914	C14279	-1.0321159	1
ESIpos_23	HMDB0060503		-1.0321159	1
ESIpos_23		C07090	-1.0321159	1
ESIpos_24			-1.283982566	1
ESIpos_25			-1.035198556	1
ESIpos_26			-1.029757244	1
ESIpos_27			1.026682597	1
ESIpos_28			-1.129342918	1
ESIpos_29			1.085226169	1
ESIpos_30			-1.025833718	1
ESIpos_31			-1.139420098	1
ESIpos_32		C02077	-1.162948131	1
ESIpos_33			-1.025374442	1
ESIpos_34			-3.106896552	1
ESIpos_35			-1.087122995	1
ESIpos_36			NaN	1
ESIpos_37	HMDB0013742		-1.274979525	1
ESIpos_37	HMDB0029609		-1.274979525	1
ESIpos_37	HMDB0040145		-1.274979525	1
ESIpos_37		C20441	-1.274979525	1
ESIpos_37		C20578	-1.274979525	1
ESIpos_38	HMDB0013742		-1.519540834	1
ESIpos_38	HMDB0029609		-1.519540834	1
ESIpos_38	HMDB0040145		-1.519540834	1
ESIpos_38		C20441	-1.519540834	1
ESIpos_38		C20578	-1.519540834	1
ESIpos_39	HMDB0013742		-1.380449748	1
ESIpos_39	HMDB0029609		-1.380449748	1
ESIpos_39	HMDB0040145		-1.380449748	1
ESIpos_39		C20441	-1.380449748	1
ESIpos_39		C20578	-1.380449748	1
ESIpos_40	HMDB0013742		-1.078558118	1
ESIpos_40	HMDB0029609		-1.078558118	1
ESIpos_40	HMDB0040145		-1.078558118	1
ESIpos_40		C20441	-1.078558118	1
ESIpos_40		C20578	-1.078558118	1
ESIpos_41			-1.063498004	1
ESIpos_42	HMDB0030276		-1.372830803	1
ESIpos_42		C07273	-1.372830803	1
ESIpos_42		C11103	-1.372830803	1
ESIpos_43			-1.266295311	1
ESIpos_44	HMDB0031404	C00571	1.236911292	1
ESIpos_44	HMDB0032416		1.236911292	1
ESIpos_45	HMDB0011749		1.474951886	1
ESIpos_45	HMDB0034587		1.474951886	1
ESIpos_45	HMDB0040518		1.474951886	1
ESIpos_45	HMDB0060309	C18796	1.474951886	1
ESIpos_45		C11118	1.474951886	1
ESIpos_46	HMDB0031404	C00571	-1.0138926	1
ESIpos_46	HMDB0032416		-1.0138926	1
ESIpos_47	HMDB0011749		1.148474094	1
ESIpos_47	HMDB0034587		1.148474094	1
ESIpos_47	HMDB0040518		1.148474094	1
ESIpos_47	HMDB0060309	C18796	1.148474094	1
ESIpos_47		C11118	1.148474094	1
ESIpos_48	HMDB0031404	C00571	1.248065288	1
ESIpos_48	HMDB0032416		1.248065288	1
ESIpos_49			1.007252947	1
ESIpos_50			6.463266791	1
ESIpos_51			1.275805404	1
ESIpos_52			-1.094538912	1
ESIpos_53			-1.099545978	1
ESIpos_54	HMDB0032523	C19524	1.2921633	1
ESIpos_55			-1.539963942	1
ESIpos_56	HMDB0129418		-1.010045854	1
ESIpos_56	HMDB0130837		-1.010045854	1
ESIpos_56	HMDB0132474		-1.010045854	1
ESIpos_56	HMDB0170858		-1.010045854	1
ESIpos_56	HMDB0000509		-1.010045854	1
ESIpos_56	HMDB0001470	C08279	-1.010045854	1
ESIpos_56	HMDB0001862		-1.010045854	1
ESIpos_56	HMDB0002167		-1.010045854	1
ESIpos_56	HMDB0029599	C12518	-1.010045854	1
ESIpos_56	HMDB0029608		-1.010045854	1
ESIpos_56	HMDB0031178		-1.010045854	1
ESIpos_56	HMDB0031598		-1.010045854	1
ESIpos_56	HMDB0031602		-1.010045854	1
ESIpos_56	HMDB0031648	C15499	-1.010045854	1
ESIpos_56	HMDB0032351		-1.010045854	1
ESIpos_56	HMDB0032385	C14527	-1.010045854	1
ESIpos_56	HMDB0032459		-1.010045854	1
ESIpos_56	HMDB0033840		-1.010045854	1
ESIpos_56	HMDB0033978	C19238	-1.010045854	1
ESIpos_56	HMDB0035143		-1.010045854	1
ESIpos_56		C02240	-1.010045854	1
ESIpos_57			1.187303854	1
ESIpos_58			1.61994774	1
ESIpos_59			1.184805601	1
ESIpos_60	HMDB0031642	C19285	-3.353785015	1
ESIpos_60	HMDB0033952	C08305	-3.353785015	1
ESIpos_61			1.485324502	1
ESIpos_62			1.016078934	1
ESIpos_63	HMDB0029387	C02926	-3.856579702	0.989285918
ESIpos_63	HMDB0029615		-3.856579702	0.989285918
ESIpos_63	HMDB0036458	C01234	-3.856579702	0.989285918
ESIpos_63		C07509	-3.856579702	0.989285918
ESIpos_63		C08267	-3.856579702	0.989285918
ESIpos_63		C11106	-3.856579702	0.989285918
ESIpos_63		C17234	-3.856579702	0.989285918
ESIpos_63		C19456	-3.856579702	0.989285918
ESIpos_63		C19777	-3.856579702	0.989285918
ESIpos_63		C20905	-3.856579702	0.989285918
ESIpos_64	HMDB0029387	C02926	1.626648772	1
ESIpos_64	HMDB0029615		1.626648772	1
ESIpos_64	HMDB0036458	C01234	1.626648772	1
ESIpos_64		C07509	1.626648772	1
ESIpos_64		C08267	1.626648772	1
ESIpos_64		C11106	1.626648772	1
ESIpos_64		C17234	1.626648772	1
ESIpos_64		C19456	1.626648772	1
ESIpos_64		C19777	1.626648772	1
ESIpos_64		C20905	1.626648772	1
ESIpos_65	HMDB0012815	C12455	-1.303222453	1
ESIpos_65	HMDB0062600		-1.303222453	1
ESIpos_65		C01842	-1.303222453	1
ESIpos_65		C03982	-1.303222453	1
ESIpos_65		C10974	-1.303222453	1
ESIpos_65		C17255	-1.303222453	1
ESIpos_65		C19491	-1.303222453	1
ESIpos_65		C20312	-1.303222453	1
ESIpos_66			1.080513784	1
ESIpos_67			-1.206599075	1
ESIpos_68			3.25697071	7.61E-07
ESIpos_69	HMDB0000005	C00109	-1.754563074	1
ESIpos_69	HMDB0000060	C00164	-1.754563074	1
ESIpos_69	HMDB0001172	C00349	-1.754563074	1
ESIpos_69	HMDB0001259	C00232	-1.754563074	1
ESIpos_69	HMDB0002217	C06002	-1.754563074	1
ESIpos_69	HMDB0003381		-1.754563074	1
ESIpos_69	HMDB0031646		-1.754563074	1
ESIpos_69		C21030	-1.754563074	1
ESIpos_70			-1.505924781	1
ESIpos_71	HMDB0000005	C00109	-1.046652268	1
ESIpos_71	HMDB0000060	C00164	-1.046652268	1
ESIpos_71	HMDB0001172	C00349	-1.046652268	1
