Database	ID	Name	Category	Genes	Metabolites	Associated_Metabolite_Sets
SMPDB	SMP0000055	Alanine Metabolism	Metabolic	AARS;GPT;PC;AGXT;AARS2	HMDB0000538;HMDB0000161;HMDB0000045;HMDB0000250;HMDB0001303;HMDB0000208;HMDB0000148;HMDB0000243;HMDB0001491;HMDB0000595;HMDB0001341;HMDB0001429;HMDB0000223;HMDB0000030;HMDB0001333;HMDB0000119;HMDB0000123	
SMPDB	SMP0000067	Aspartate Metabolism	Metabolic	ABAT;GAD1;ASNS;NARS;ASS1;DARS;ADSL;DDO;ASPA;ADSSL1;CAD;ASRGL1;ASL;IL4I1	HMDB0000056;HMDB0000208;HMDB0011111;HMDB0000148;HMDB0001491;HMDB0000191;HMDB0001967;HMDB0000538;HMDB0000641;HMDB0002111;HMDB0000045;HMDB0000250;HMDB0000168;HMDB0000904;HMDB0000052;HMDB0000223;HMDB0000051;HMDB0003125;HMDB0000536;HMDB0000134;HMDB0006483;HMDB0001377;HMDB0001248;HMDB0000812;HMDB0000042;HMDB0001303;HMDB0001273;HMDB0000175;HMDB0001201;HMDB0001429;HMDB0000547;HMDB0001096;HMDB0000828;HMDB0000517	
SMPDB	SMP0000072	Glutamate Metabolism	Metabolic	PIG59;GLS2;GFPT1;GNPNAT1;NAGK;CAD;CPS1;PPAT;GMPS;NADSYN1;ALDH4A1;GPT;GLUD1;GOT2;EARS2;GCLC;GCLM;GSS;GSR;GAD1;ABAT;ALDH5A1;QARS	HMDB0000538;HMDB0000148;HMDB0000051;HMDB0001341;HMDB0001429;HMDB0000641;HMDB0000030;HMDB0000547;HMDB0002111;HMDB0000124;HMDB0001254;HMDB0001206;HMDB0001062;HMDB0001423;HMDB0001178;HMDB0003362;HMDB0003538;HMDB0002142;HMDB0001096;HMDB0001303;HMDB0001967;HMDB0001128;HMDB0000250;HMDB0000280;HMDB0061380;HMDB0001554;HMDB0000045;HMDB0001397;HMDB0001179;HMDB0000902;HMDB0001301;HMDB0001487;HMDB0000161;HMDB0000208;HMDB0000243;HMDB0001491;HMDB0000191;HMDB0000223;HMDB0000574;HMDB0001049;HMDB0000123;HMDB0000125;HMDB0003337;HMDB0000221;HMDB0000217;HMDB0001248;HMDB0000112;HMDB0001259;HMDB0000254;HMDB0059597	
SMPDB	SMP0000015	Glutathione Metabolism	Metabolic	GSS;GPX1;GSR;GSTO2;GGT6;ANPEP;CASP7;GCLC;GCLM;OPLAH;GGCT	HMDB0000125;HMDB0000267;HMDB0000148;HMDB0000574;HMDB0001049;HMDB0000538;HMDB0000123;HMDB0001341;HMDB0002142;HMDB0003125;HMDB0003337;HMDB0002111;HMDB0000221;HMDB0000217;HMDB0001248;HMDB0031524;HMDB0061365;HMDB0061366;HMDB0061367;HMDB0061368;HMDB0001303;HMDB0015532;HMDB0061370;HMDB0061369;HMDB0000078	
SMPDB	SMP0000057	Citric Acid Cycle	Metabolic	PDHA1;PDHB;DLAT;DLD;CS;IDH3A;IDH3B;IDH3G;OGDH;DLST;SUCLG1;SUCLG2;FH;MDH2;PC;SDHA;SDHB;SDHC;SDHD;MPC1;ACO2	HMDB0000243;HMDB0001423;HMDB0000902;HMDB0001206;HMDB0001967;HMDB0001487;HMDB0001372;HMDB0000962;HMDB0001248;HMDB0002111;HMDB0000223;HMDB0000094;HMDB0000072;HMDB0000193;HMDB0000208;HMDB0059597;HMDB0000547;HMDB0001022;HMDB0001429;HMDB0001201;HMDB0000254;HMDB0001273;HMDB0000134;HMDB0000156;HMDB0000538;HMDB0000595;HMDB0001341;HMDB0000030;HMDB0001333;HMDB0001072;HMDB0059661;HMDB0001197;HMDB0061380	
SMPDB	SMP0000018	Alpha Linolenic Acid and Linoleic Acid Metabolism	Metabolic	FADS2;ELOVL5;FADS1;ELOVL4;PLA2G4B	HMDB0001388;HMDB0006547;HMDB0000673;HMDB0002177;HMDB0001999;HMDB0006528;HMDB0003073;HMDB0006323;HMDB0002007;HMDB0002925;HMDB0001043;HMDB0002226;HMDB0006246;HMDB0006322;HMDB0008204;HMDB0000464;HMDB0002183;HMDB0001976	
SMPDB	SMP0000029	Selenoamino Acid Metabolism	Metabolic	SCLY;SEPHS2;CTH;CBS;AHCY;METTL6;MAT2A;MAT2B;MARS;PAPSS1;GGT1	HMDB0003288;HMDB0000161;HMDB0011110;HMDB0001491;HMDB0000538;HMDB0002111;HMDB0000045;HMDB0003840;HMDB0002142;HMDB0006343;HMDB0000051;HMDB0000005;HMDB0000187;HMDB0004119;HMDB0011117;HMDB0000050;HMDB0000902;HMDB0011118;HMDB0003966;HMDB0000250;HMDB0060694;HMDB0004112;HMDB0011104;HMDB0001341;HMDB0004113;HMDB0010716;HMDB0011119;HMDB0004122	
SMPDB	SMP0000045	Amino Sugar Metabolism	Metabolic	CHIT1;HEXA;NAGK;AMDHD2;GNPNAT1;GNPDA1;GFPT1;PGM3;UAP1;RENBP;GNE;HK1;NANS;NPL;NANP;CMAS;SLC17A5	HMDB0003362;HMDB0003556;HMDB0002111;HMDB0000215;HMDB0000538;HMDB0001341;HMDB0001062;HMDB0001254;HMDB0000042;HMDB0001206;HMDB0001423;HMDB0000124;HMDB0000051;HMDB0000641;HMDB0000148;HMDB0001367;HMDB0000547;HMDB0000285;HMDB0000290;HMDB0000250;HMDB0001129;HMDB0000295;HMDB0000660;HMDB0001514;HMDB0000263;HMDB0000230;HMDB0001429;HMDB0000243;HMDB0001121;HMDB0006268;HMDB0000082;HMDB0001176	
SMPDB	SMP0000009	Ammonia Recycling	Metabolic	SDS;ASRGL1;ASNS;HAL;CPS1;PIG59;GLUD1;GLS2;AMT;DLD;GLDC;GCSH	HMDB0000187;HMDB0000243;HMDB0000051;HMDB0001491;HMDB0000168;HMDB0002111;HMDB0000191;HMDB0000538;HMDB0000641;HMDB0000045;HMDB0000250;HMDB0000148;HMDB0000177;HMDB0000301;HMDB0001967;HMDB0001341;HMDB0002142;HMDB0001096;HMDB0001429;HMDB0000030;HMDB0000547;HMDB0000902;HMDB0000208;HMDB0001487;HMDB0001846;HMDB0013639;HMDB0012210;HMDB0001533;HMDB0001451;HMDB0001248;HMDB0000123	
SMPDB	SMP0000020	Arginine and Proline Metabolism	Metabolic	ASS1;ASL;CPS1;GLUD1;OAT;ALDH4A1;PRODH;PYCR2;P4HA3;RARS2;GATM;GAMT;CKB;ARG1;OTC;SLC25A15;DAO;GOT1;NOS1;EPRS	HMDB0000904;HMDB0001096;HMDB0000214;HMDB0000538;HMDB0000191;HMDB0000045;HMDB0000250;HMDB0000052;HMDB0000134;HMDB0000517;HMDB0000051;HMDB0001967;HMDB0002111;HMDB0001341;HMDB0002142;HMDB0000148;HMDB0000902;HMDB0000208;HMDB0001487;HMDB0002104;HMDB0001491;HMDB0059597;HMDB0001301;HMDB0000162;HMDB0001248;HMDB0001377;HMDB0000725;HMDB0000254;HMDB0001369;HMDB0000123;HMDB0000128;HMDB0001185;HMDB0000939;HMDB0000064;HMDB0001511;HMDB0000294;HMDB0001333;HMDB0001429;HMDB0003411;HMDB0006875;HMDB0003125;HMDB0002234;HMDB0002273;HMDB0000221;HMDB0006556;HMDB0000223;HMDB0002070;HMDB0004224;HMDB0003378;HMDB0000217;HMDB0003178;HMDB0001520;HMDB0000027	
SMPDB	SMP0000007	beta-Alanine Metabolism	Metabolic	CNDP1;GAD1;UPB1;DPYS;DPYD;ABAT;ALDH6A1;ALDH2;AOC3	HMDB0000194;HMDB0002111;HMDB0000056;HMDB0000479;HMDB0001303;HMDB0000033;HMDB0000177;HMDB0000191;HMDB0001967;HMDB0001491;HMDB0000026;HMDB0000051;HMDB0000076;HMDB0000217;HMDB0000300;HMDB0000221;HMDB0001248;HMDB0001520;HMDB0000208;HMDB0011111;HMDB0000148;HMDB0001423;HMDB0000902;HMDB0001206;HMDB0001487;HMDB0001106;HMDB0059597;HMDB0000002;HMDB0001377;HMDB0003125;HMDB0000657;HMDB0000464;HMDB0011639;HMDB0000210	
SMPDB	SMP0000123	Betaine Metabolism	Metabolic	ALDH7A1;BHMT;MTR;AHCY;CHDH;PEMT;MAT2A;MAT2B	HMDB0000043;HMDB0001252;HMDB0000902;HMDB0002111;HMDB0001487;HMDB0000097;HMDB0000742;HMDB0000092;HMDB0000696;HMDB0001303;HMDB0001396;HMDB0001846;HMDB0000538;HMDB0001185;HMDB0001429;HMDB0000250;HMDB0000939;HMDB0000050;HMDB0001248;HMDB0061371;HMDB0061372;HMDB0000547;HMDB0000586	
SMPDB	SMP0000066	Biotin Metabolism	Metabolic	HLCS;BTD;SPCS1	HMDB0000538;HMDB0000030;HMDB0004220;HMDB0000250;HMDB0003134;HMDB0002111;HMDB0000182	
SMPDB	SMP0000073	Butyrate Metabolism	Metabolic	ECHS1;HADH;ACAT1;HMGCS2;OXCT1;HMGCL;ACSM1;ACADS	HMDB0001088;HMDB0002009;HMDB0001166;HMDB0002111;HMDB0000902;HMDB0001484;HMDB0001487;HMDB0001206;HMDB0001423;HMDB0001375;HMDB0000060;HMDB0001022;HMDB0000254;HMDB0000538;HMDB0000039;HMDB0000045;HMDB0000250;HMDB0000547;HMDB0001248	
SMPDB	SMP0000028	Caffeine Metabolism	Metabolic	CYP1A2;CYP2E1;NAT2;CYP3A4;CYP2C8;CYP2C9;XDH;CYP2A6	HMDB0001847;HMDB0002825;HMDB0001889;HMDB0001860;HMDB0010738;HMDB0001991;HMDB0011105;HMDB0004400;HMDB0001487;HMDB0001377;HMDB0000902;HMDB0002111;HMDB0001426;HMDB0003178;HMDB0001206;HMDB0001423;HMDB0003099;HMDB0003125;HMDB0001248;HMDB0061344;HMDB0002206;HMDB0011107;HMDB0002123;HMDB0011103;HMDB0001982	
SMPDB	SMP0000465	Carnitine Synthesis	Metabolic	SETD7;TMLHE;SHMT1;ALDH9A1;BBOX1	HMDB0000182;HMDB0001185;HMDB0001325;HMDB0000939;HMDB0000208;HMDB0001377;HMDB0001422;HMDB0000254;HMDB0001967;HMDB0000692;HMDB0000123;HMDB0001345;HMDB0001491;HMDB0000902;HMDB0002111;HMDB0001161;HMDB0001487;HMDB0059597;HMDB0000062;HMDB0000044	
SMPDB	SMP0000012	Catecholamine Biosynthesis	Metabolic	TH;DDC;DBH;PNMT	HMDB0000158;HMDB0000787;HMDB0001377;HMDB0000181;HMDB0000038;HMDB0002111;HMDB0000692;HMDB0000073;HMDB0001967;HMDB0001491;HMDB0000044;HMDB0000216;HMDB0001264;HMDB0013636;HMDB0000657;HMDB0001185;HMDB0000939;HMDB0000068	
SMPDB	SMP0000013	Cysteine Metabolism	Metabolic	GCLC;GCLM;CDO1;GOT1;CTH;MPST;LDHAL6A;CTNS;CARS	HMDB0000538;HMDB0000148;HMDB0001341;HMDB0002142;HMDB0001049;HMDB0001377;HMDB0000996;HMDB0000692;HMDB0000208;HMDB0001405;HMDB0001491;HMDB0002111;HMDB0000243;HMDB0000240;HMDB0003276;HMDB0000051;HMDB0001368;HMDB0002084;HMDB0001453;HMDB0002127;HMDB0000902;HMDB0001487;HMDB0000574;HMDB0000045;HMDB0000250;HMDB0001303	
SMPDB	SMP0000036	D-Arginine and D-Ornithine Metabolism	Metabolic	DAO	HMDB0003374;HMDB0002111;HMDB0001377;HMDB0006272;HMDB0000051;HMDB0003125;HMDB0001248;HMDB0003416;HMDB0004225;HMDB0000294;HMDB0006875	
