SMPDB_ID	HMDB_ID
PW_C000414	HMDB0000538
PW_C000105	HMDB0000161
PW_C000032	HMDB0000045
PW_C000170	HMDB0000250
PW_C001005	HMDB0001303
PW_C000134	HMDB0000208
PW_C000095	HMDB0000148
PW_C000164	HMDB0000243
PW_C001148	HMDB0001491
PW_C000463	HMDB0000595
PW_C001034	HMDB0001341
PW_C001104	HMDB0001429
PW_C000148	HMDB0000223
PW_C000020	HMDB0000030
PW_C001027	HMDB0001333
PW_C000075	HMDB0000119
PW_C000078	HMDB0000123
PW_C000040	HMDB0000056
PW_C006753	HMDB0011111
PW_C000123	HMDB0000191
PW_C001316	HMDB0001967
PW_C000500	HMDB0000641
PW_C001420	HMDB0002111
PW_C000110	HMDB0000168
PW_C000723	HMDB0000904
PW_C000036	HMDB0000052
PW_C000035	HMDB0000051
PW_C001783	HMDB0003125
PW_C000413	HMDB0000536
PW_C000088	HMDB0000134
PW_C002766	HMDB0006483
PW_C001065	HMDB0001377
PW_C000964	HMDB0001248
PW_C000649	HMDB0000812
PW_C000029	HMDB0000042
PW_C000986	HMDB0001273
PW_C000114	HMDB0000175
PW_C000936	HMDB0001201
PW_C000423	HMDB0000547
PW_C000862	HMDB0001096
PW_C000662	HMDB0000828
PW_C000396	HMDB0000517
PW_C000079	HMDB0000124
PW_C000969	HMDB0001254
PW_C000940	HMDB0001206
PW_C000837	HMDB0001062
PW_C001099	HMDB0001423
PW_C000914	HMDB0001178
PW_C001858	HMDB0003362
PW_C001916	HMDB0003538
PW_C001441	HMDB0002142
PW_C000882	HMDB0001128
PW_C000190	HMDB0000280
PW_C040711	HMDB0061380
PW_C001196	HMDB0001554
PW_C001080	HMDB0001397
PW_C000915	HMDB0001179
PW_C000721	HMDB0000902
PW_C001003	HMDB0001301
PW_C001144	HMDB0001487
PW_C000448	HMDB0000574
PW_C000826	HMDB0001049
PW_C000080	HMDB0000125
PW_C001847	HMDB0003337
PW_C000146	HMDB0000221
PW_C000143	HMDB0000217
PW_C000071	HMDB0000112
PW_C000972	HMDB0001259
PW_C000174	HMDB0000254
PW_C040034	HMDB0059597
PW_C000182	HMDB0000267
PW_C012706	HMDB0031524
PW_C040689	HMDB0061365
PW_C040690	HMDB0061366
PW_C040691	HMDB0061367
PW_C040692	HMDB0061368
PW_C009795	HMDB0015532
